claim_id,policy_holder_age,vehicle_age_years,claim_amount_requested,previous_claims_count,incident_type,damage_severity,ai_approval_recommendation
CLM_1000,56,5,300000,0,Front Collision,Minor,Manual Review
CLM_1001,69,7,75000,0,Front Collision,Moderate,Manual Review
CLM_1002,46,10,150000,0,Rear Collision,Minor,Approve
CLM_1003,32,8,15000,0,Rollover,Minor,Manual Review
CLM_1004,60,13,300000,0,Rear Collision,Moderate,Approve
CLM_1005,25,4,300000,0,Front Collision,Moderate,Manual Review
CLM_1006,38,0,15000,0,Rear Collision,Minor,Reject
CLM_1007,56,2,300000,0,Front Collision,Moderate,Approve
CLM_1008,36,9,75000,3,Rear Collision,Minor,Approve
CLM_1009,40,11,150000,1,Front Collision,Minor,Manual Review
CLM_1010,28,7,15000,0,Front Collision,Minor,Approve
CLM_1011,28,14,150000,3,Front Collision,Minor,Approve
CLM_1012,41,10,300000,1,Rollover,Minor,Manual Review
CLM_1013,53,5,300000,0,Rear Collision,Moderate,Approve
CLM_1014,57,7,15000,0,Rear Collision,Moderate,Manual Review
CLM_1015,41,8,75000,0,Rear Collision,Minor,Approve
CLM_1016,20,3,35000,0,Front Collision,Severe,Manual Review
CLM_1017,39,0,15000,1,Rear Collision,Moderate,Approve
CLM_1018,19,13,35000,0,Rear Collision,Minor,Reject
CLM_1019,41,0,35000,0,Front Collision,Severe,Manual Review
CLM_1020,61,9,75000,2,Parked Scrape,Severe,Approve
CLM_1021,47,3,35000,1,Front Collision,Minor,Approve
CLM_1022,55,11,35000,0,Rear Collision,Minor,Reject
CLM_1023,19,13,75000,2,Front Collision,Severe,Approve
CLM_1024,38,6,35000,3,Parked Scrape,Moderate,Approve
CLM_1025,50,1,35000,3,Front Collision,Minor,Approve
CLM_1026,29,2,35000,0,Rear Collision,Moderate,Approve
CLM_1027,39,0,15000,1,Parked Scrape,Moderate,Manual Review
CLM_1028,61,4,15000,0,Rollover,Moderate,Approve
CLM_1029,42,0,15000,1,Rear Collision,Moderate,Approve
CLM_1030,66,7,75000,3,Parked Scrape,Moderate,Approve
CLM_1031,44,0,300000,1,Parked Scrape,Minor,Approve
CLM_1032,59,10,35000,1,Rollover,Minor,Approve
CLM_1033,45,0,35000,2,Front Collision,Moderate,Approve
CLM_1034,33,1,75000,1,Front Collision,Severe,Reject
CLM_1035,32,1,35000,0,Rear Collision,Minor,Approve
CLM_1036,64,11,15000,0,Rollover,Moderate,Approve
CLM_1037,68,5,300000,0,Front Collision,Moderate,Manual Review
CLM_1038,61,6,150000,2,Rollover,Minor,Approve
CLM_1039,69,4,35000,0,Front Collision,Moderate,Manual Review
CLM_1040,20,0,15000,0,Parked Scrape,Severe,Approve
CLM_1041,54,0,150000,0,Front Collision,Moderate,Approve
CLM_1042,68,2,300000,0,Rollover,Moderate,Approve
CLM_1043,24,13,150000,2,Parked Scrape,Minor,Approve
CLM_1044,38,1,15000,2,Parked Scrape,Moderate,Manual Review
CLM_1045,26,4,150000,0,Parked Scrape,Minor,Approve
CLM_1046,56,11,75000,2,Rollover,Minor,Approve
CLM_1047,35,9,150000,0,Rear Collision,Moderate,Approve
CLM_1048,21,5,35000,0,Rear Collision,Minor,Approve
CLM_1049,42,6,35000,1,Rear Collision,Minor,Manual Review
CLM_1050,31,3,75000,0,Rollover,Moderate,Approve
CLM_1051,67,6,15000,0,Parked Scrape,Minor,Approve
CLM_1052,26,10,35000,1,Rear Collision,Minor,Approve
CLM_1053,43,7,300000,0,Rollover,Moderate,Approve
CLM_1054,19,10,35000,0,Rear Collision,Moderate,Manual Review
CLM_1055,37,0,35000,0,Front Collision,Minor,Approve
CLM_1056,45,14,15000,0,Rear Collision,Severe,Manual Review
CLM_1057,64,5,150000,0,Rear Collision,Minor,Approve
CLM_1058,24,7,35000,0,Parked Scrape,Moderate,Approve
CLM_1059,61,4,75000,1,Rollover,Moderate,Reject
CLM_1060,25,3,150000,1,Parked Scrape,Severe,Approve
CLM_1061,64,1,300000,1,Parked Scrape,Moderate,Approve
CLM_1062,52,5,15000,1,Parked Scrape,Moderate,Manual Review
CLM_1063,31,5,300000,1,Parked Scrape,Moderate,Approve
CLM_1064,34,10,150000,0,Parked Scrape,Minor,Manual Review
CLM_1065,53,14,150000,0,Rear Collision,Minor,Approve
CLM_1066,67,0,150000,0,Parked Scrape,Moderate,Reject
CLM_1067,57,8,300000,0,Parked Scrape,Minor,Manual Review
CLM_1068,21,11,150000,0,Rollover,Moderate,Approve
CLM_1069,19,10,300000,0,Front Collision,Minor,Reject
CLM_1070,23,5,150000,1,Rear Collision,Moderate,Approve
CLM_1071,59,12,75000,3,Rear Collision,Minor,Reject
CLM_1072,21,2,150000,0,Rear Collision,Minor,Approve
CLM_1073,46,3,300000,0,Parked Scrape,Moderate,Approve
CLM_1074,35,11,35000,0,Parked Scrape,Moderate,Approve
CLM_1075,43,10,150000,2,Parked Scrape,Moderate,Approve
CLM_1076,61,3,35000,2,Rollover,Minor,Approve
CLM_1077,51,2,75000,0,Front Collision,Minor,Manual Review
CLM_1078,27,9,15000,1,Parked Scrape,Moderate,Manual Review
CLM_1079,53,2,75000,0,Front Collision,Minor,Reject
CLM_1080,31,14,150000,0,Rollover,Moderate,Approve
CLM_1081,48,2,35000,0,Rear Collision,Moderate,Approve
CLM_1082,65,3,35000,0,Parked Scrape,Moderate,Approve
CLM_1083,32,6,300000,3,Front Collision,Moderate,Approve
CLM_1084,25,3,35000,1,Front Collision,Moderate,Approve
CLM_1085,31,8,300000,0,Parked Scrape,Severe,Approve
CLM_1086,40,0,15000,1,Rear Collision,Minor,Manual Review
CLM_1087,57,7,150000,2,Rear Collision,Minor,Approve
CLM_1088,38,6,300000,3,Rear Collision,Minor,Approve
CLM_1089,33,1,15000,0,Rollover,Minor,Approve
CLM_1090,62,7,35000,0,Front Collision,Moderate,Approve
CLM_1091,35,0,35000,0,Front Collision,Severe,Approve
CLM_1092,64,10,15000,0,Front Collision,Minor,Reject
CLM_1093,41,11,35000,0,Rollover,Minor,Approve
CLM_1094,43,8,15000,1,Front Collision,Minor,Approve
CLM_1095,42,8,300000,0,Rollover,Moderate,Approve
CLM_1096,62,1,300000,0,Rear Collision,Moderate,Manual Review
CLM_1097,58,6,15000,0,Parked Scrape,Minor,Reject
CLM_1098,46,14,300000,0,Front Collision,Severe,Manual Review
CLM_1099,32,13,300000,0,Front Collision,Moderate,Approve
CLM_1100,62,9,300000,0,Rear Collision,Minor,Approve
CLM_1101,18,2,75000,0,Parked Scrape,Moderate,Approve
CLM_1102,42,6,150000,0,Rollover,Moderate,Reject
CLM_1103,24,11,35000,0,Parked Scrape,Minor,Manual Review
CLM_1104,26,9,75000,1,Rear Collision,Minor,Approve
CLM_1105,41,8,300000,0,Rear Collision,Minor,Manual Review
CLM_1106,18,3,15000,0,Parked Scrape,Minor,Manual Review
CLM_1107,61,11,300000,0,Rollover,Moderate,Approve
CLM_1108,25,0,150000,2,Rollover,Severe,Reject
CLM_1109,41,1,300000,0,Front Collision,Minor,Reject
CLM_1110,28,0,15000,0,Rollover,Minor,Approve
CLM_1111,68,13,150000,2,Parked Scrape,Minor,Approve
CLM_1112,34,11,300000,0,Rear Collision,Minor,Approve
CLM_1113,25,4,150000,2,Front Collision,Moderate,Approve
CLM_1114,52,4,35000,0,Front Collision,Minor,Approve
CLM_1115,52,10,35000,0,Rear Collision,Minor,Approve
CLM_1116,50,6,300000,0,Rollover,Minor,Reject
CLM_1117,22,8,150000,1,Rear Collision,Moderate,Approve
CLM_1118,59,8,15000,0,Rollover,Minor,Approve
CLM_1119,56,2,300000,3,Rear Collision,Moderate,Approve
CLM_1120,58,2,35000,0,Parked Scrape,Minor,Approve
CLM_1121,45,2,35000,1,Rollover,Moderate,Manual Review
CLM_1122,24,3,300000,0,Parked Scrape,Moderate,Approve
CLM_1123,26,7,150000,1,Front Collision,Minor,Approve
CLM_1124,25,5,35000,0,Rear Collision,Minor,Approve
CLM_1125,29,7,150000,0,Front Collision,Severe,Manual Review
